nivel_geo,abrangencia,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,ano_mes,formulario_clean,evento_clean,faixa_etaria,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 7,Pessoa Desaparecida,Maior de Idade,457,163,294,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 7,Pessoa Desaparecida,Menor de Idade,469,297,172,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 7,Pessoa Localizada,Maior de Idade,341,137,204,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 7,Pessoa Localizada,Menor de Idade,365,231,134,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 7,Pessoa Desaparecida,Maior de Idade,406,146,260,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 7,Pessoa Desaparecida,Menor de Idade,415,261,154,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 7,Pessoa Localizada,Maior de Idade,304,100,204,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 7,Pessoa Localizada,Menor de Idade,309,186,123,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 7,Pessoa Desaparecida,Maior de Idade,401,142,259,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 7,Pessoa Desaparecida,Menor de Idade,387,238,149,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 7,Pessoa Localizada,Maior de Idade,330,113,217,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 7,Pessoa Localizada,Menor de Idade,315,195,120,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 7,Pessoa Desaparecida,Maior de Idade,376,125,251,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 7,Pessoa Desaparecida,Menor de Idade,412,240,172,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 7,Pessoa Localizada,Maior de Idade,306,111,195,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 7,Pessoa Localizada,Menor de Idade,341,192,149,11109776,5709062,5400714
